City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,Hongjiang,CN,2022-02-02 18:55:48,27.11,109.9956,34.79,96,96,2.46
163,Saint-Georges,GD,2022-02-02 18:55:48,12.0564,-61.7485,83.88,74,20,21.85
164,Hasaki,JP,2022-02-02 18:54:51,35.7333,140.8333,27.0,43,38,1.01
165,Neyshabur,IR,2022-02-02 18:55:49,36.2133,58.7958,39.04,50,0,2.3
166,Roma,US,2022-02-02 18:55:49,43.2128,-75.4557,43.81,58,51,4.0
167,Muyezerskiy,RU,2022-02-02 18:55:49,63.9333,31.65,3.15,100,93,3.49
168,Hammerfest,NO,2022-02-02 18:55:50,70.6634,23.6821,24.53,73,0,4.61
169,Luba,GQ,2022-02-02 18:55:50,3.4568,8.5547,80.96,79,13,9.22
170,Vysokogornyy,RU,2022-02-02 18:55:50,50.1167,139.15,-12.91,100,97,3.56
171,Beringovskiy,RU,2022-02-02 18:55:50,63.05,179.3167,-0.13,83,54,20.22
172,Leshukonskoye,RU,2022-02-02 18:55:51,64.8989,45.7622,7.57,99,96,2.59
173,Sungairaya,ID,2022-02-02 18:55:51,0.7,108.9,76.5,90,94,4.61
174,Ahar,IR,2022-02-02 18:55:51,38.4774,47.0699,18.64,78,3,9.91
175,Acapulco,MX,2022-02-02 18:55:52,16.8634,-99.8901,81.9,55,0,7.09
176,Komsomolskiy,UZ,2022-02-02 18:55:52,40.4272,71.7189,38.12,60,100,6.91
177,Bestobe,KZ,2022-02-02 18:55:52,52.4994,73.0975,9.16,88,100,6.2
178,Samarai,PG,2022-02-02 18:55:53,-10.6167,150.6667,79.5,81,91,7.45
179,Otradnoye,RU,2022-02-02 18:55:53,59.7775,30.8181,23.05,100,99,1.19
180,Rupert,US,2022-02-02 18:51:35,42.6191,-113.6772,19.27,79,100,0.0
181,Kuching,MY,2022-02-02 18:55:53,1.55,110.3333,77.22,94,20,2.3
182,Pisco,PE,2022-02-02 18:52:05,-13.7,-76.2167,77.05,57,0,8.05
183,Careiro Da Varzea,BR,2022-02-02 18:56:54,-3.2003,-59.8119,75.83,84,98,5.59
184,Urumqi,CN,2022-02-02 18:54:31,43.801,87.6005,-1.25,92,40,2.24
185,Carnarvon,AU,2022-02-02 18:56:54,-24.8667,113.6333,78.87,83,100,8.05
